bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha	skip_reason	beyond_ladder	draw_rate	mean_game_length	acpl	blunder_rate	sf_agreement	maia_agreement
1700	0.05	sf0	8	8	0	0	1.0000	4	4	0	0	1.0000	4	4	0	0	1.0000	1	50	8	4	562bdd84		false	0.0000	41.38	50.3	0.0311	0.3642	0.4251
1700	0.05	sf3	24	19	0	5	0.7917	12	10	0	2	0.8333	12	9	0	3	0.7500	1	50	8	4	562bdd84		false	0.0000	63.67	42.5	0.0266	0.3533	0.3848
1700	0.05	sf5	24	10	4	10	0.5000	12	3	4	5	0.4167	12	7	0	5	0.5833	1	50	8	4	562bdd84		false	0.1667	75.25	45.6	0.0225	0.3449	0.3778
1700	0.05	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1700	0.05	sf10	8	0	0	8	0.0000	4	0	0	4	0.0000	4	0	0	4	0.0000	1	50	8	4	562bdd84		false	0.0000	60.88	50.5	0.0167	0.3542	0.3621
1900	0.05	maia700	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1900	0.05	maia1100	24	21	2	1	0.9167	12	10	1	1	0.8750	12	11	1	0	0.9583	1	50	8	4	562bdd84		false	0.0833	62.00	36.3	0.0220	0.4457	0.4605
1900	0.05	maia1500	24	17	6	1	0.8333	12	9	3	0	0.8750	12	8	3	1	0.7917	1	50	8	4	562bdd84		false	0.2500	73.83	39.2	0.0219	0.4522	0.4466
1900	0.05	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1900	0.05	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1900	0.05	sf0	8	8	0	0	1.0000	4	4	0	0	1.0000	4	4	0	0	1.0000	1	50	8	4	562bdd84		false	0.0000	42.13	43.3	0.0366	0.3152	0.3275
1900	0.05	sf3	24	14	7	3	0.7292	12	9	2	1	0.8333	12	5	5	2	0.6250	1	50	8	4	562bdd84		false	0.2917	84.96	40.1	0.0198	0.3538	0.3812
1900	0.05	sf5	24	12	2	10	0.5417	12	6	0	6	0.5000	12	6	2	4	0.5833	1	50	8	4	562bdd84		false	0.0833	76.71	43.1	0.0221	0.3692	0.3713
1900	0.05	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1900	0.05	sf10	8	0	1	7	0.0625	4	0	1	3	0.1250	4	0	0	4	0.0000	1	50	8	4	562bdd84		false	0.1250	74.00	41.8	0.0172	0.4055	0.4237
