bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha	skip_reason	beyond_ladder	draw_rate	mean_game_length	acpl	blunder_rate	sf_agreement	maia_agreement
2300	0.5	sf0	8	8	0	0	1.0000	4	4	0	0	1.0000	4	4	0	0	1.0000	1	50	8	4	562bdd84		false	0.0000	39.75	27.8	0.0127	0.4522	0.4938
2300	0.5	sf3	24	22	2	0	0.9583	12	12	0	0	1.0000	12	10	2	0	0.9167	1	50	8	4	562bdd84		false	0.0833	59.33	22.6	0.0014	0.4430	0.4392
2300	0.5	sf5	24	21	3	0	0.9375	12	11	1	0	0.9583	12	10	2	0	0.9167	1	50	8	4	562bdd84		false	0.1250	74.63	24.1	0.0057	0.4287	0.4442
2300	0.5	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
2300	0.5	sf10	8	0	2	6	0.1250	4	0	1	3	0.1250	4	0	1	3	0.1250	1	50	8	4	562bdd84		false	0.2500	94.88	37.5	0.0133	0.3813	0.4074
2600	0.5	maia700	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
2600	0.5	maia1100	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
2600	0.5	maia1500	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
2600	0.5	maia1900	24	22	2	0	0.9583	12	11	1	0	0.9583	12	11	1	0	0.9583	1	50	8	4	562bdd84		false	0.0833	72.21	25.6	0.0070	0.5356	0.5437
2600	0.5	maia2300	24	18	5	1	0.8542	12	11	1	0	0.9583	12	7	4	1	0.7500	1	50	8	4	562bdd84		false	0.2083	64.96	26.1	0.0118	0.5416	0.5462
2600	0.5	sf0	8	8	0	0	1.0000	4	4	0	0	1.0000	4	4	0	0	1.0000	1	50	8	4	562bdd84		false	0.0000	34.13	22.2	0.0076	0.5263	0.5109
2600	0.5	sf3	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
2600	0.5	sf5	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
2600	0.5	sf8	24	13	3	8	0.6042	12	6	1	5	0.5417	12	7	2	3	0.6667	1	50	8	4	562bdd84		false	0.1250	95.46	28.9	0.0062	0.4392	0.4534
2600	0.5	sf10	24	2	13	9	0.3542	12	1	6	5	0.3333	12	1	7	4	0.3750	1	50	8	4	562bdd84		false	0.5417	102.13	25.4	0.0074	0.4216	0.4350
