bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha	skip_reason	beyond_ladder	draw_rate	mean_game_length	acpl	blunder_rate	sf_agreement	maia_agreement
1900	0	sf3	24	9	2	13	0.4167	12	6	0	6	0.5000	12	3	2	7	0.3333	1	50	8	4	562bdd84		false	0.0833	65.96	50.8	0.0386	0.3560	0.5619
1900	0	sf5	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1900	0	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1900	0	sf10	8	0	0	8	0.0000	4	0	0	4	0.0000	4	0	0	4	0.0000	1	50	8	4	562bdd84		false	0.0000	67.00	53.6	0.0191	0.3588	0.5865
2300	0	maia700	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
2300	0	maia1100	24	11	4	9	0.5417	12	5	2	5	0.5000	12	6	2	4	0.5833	1	50	8	4	562bdd84		false	0.1667	66.42	41.1	0.0346	0.4300	0.6361
2300	0	maia1500	24	11	5	8	0.5625	12	5	3	4	0.5417	12	6	2	4	0.5833	1	50	8	4	562bdd84		false	0.2083	72.46	37.4	0.0387	0.5053	0.6621
2300	0	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
2300	0	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
2300	0	sf0	8	8	0	0	1.0000	4	4	0	0	1.0000	4	4	0	0	1.0000	1	50	8	4	562bdd84		false	0.0000	48.63	33.7	0.0260	0.3906	0.5918
2300	0	sf3	24	12	6	6	0.6250	12	8	3	1	0.7917	12	4	3	5	0.4583	1	50	8	4	562bdd84		false	0.2500	78.00	40.6	0.0346	0.3812	0.5752
2300	0	sf5	24	3	3	18	0.1875	12	1	3	8	0.2083	12	2	0	10	0.1667	1	50	8	4	562bdd84		false	0.1250	74.00	49.7	0.0447	0.4128	0.5914
2300	0	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
2300	0	sf10	8	0	1	7	0.0625	4	0	1	3	0.1250	4	0	0	4	0.0000	1	50	8	4	562bdd84		false	0.1250	66.38	50.0	0.0308	0.3769	0.5492
