fen	san	score	site	c2_pass	best_es	second_best_es	maia_p_600	maia_p_1000	maia_p_1400	maia_p_1800	maia_p_2200	maia_p_2600	gem_600	gem_1000	gem_1400	gem_1800	gem_2200	gem_2600	analysis_url
r2q1rk1/p1ppb1p1/np2p2p/4N3/3PQ3/2P5/PP3PPP/R1B2RK1 w - - 1 15	Bxh6	3.9	https://lichess.org/Dp2i8vgY	false	0.7328028486085163	0.7022268698712444	0.13102161338986862	0.14110715856701556	0.12170187022700502	0.11901483773139136	0.2714408030258377	0.5608063019457251	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r2q1rk1%2Fp1ppb1p1%2Fnp2p2p%2F4N3%2F3PQ3%2F2P5%2FPP3PPP%2FR1B2RK1%20w%20-%20-%201%2015
2q1rr2/2p3pk/p1b4p/1p2pP2/6PQ/PBN1B2P/1PP5/3R2K1 w - - 5 25	Bxh6	3.9	https://lichess.org/E8CuptnI	false	0.8735912627088477	0.8112424662284797	0.06075261532551854	0.04412953398004822	0.021559859872139972	0.014261096096684604	0.03279925156002357	0.0837579964534125	false	false	false	false	false	false	https://flawchess.com/analysis?fen=2q1rr2%2F2p3pk%2Fp1b4p%2F1p2pP2%2F6PQ%2FPBN1B2P%2F1PP5%2F3R2K1%20w%20-%20-%205%2025
rn1qk2r/1p3pp1/p2bbn1p/3p4/P1pP4/2N2N2/1PP1BPPP/R1BQR1K1 w kq - 6 11	Bxc4	3.9	https://lichess.org/YhdgBqao	false	0.5677001476173856	0.4917160780856239	0.012894674614436863	0.006120561137788424	0.005323706837449029	0.009603094028046667	0.011986249279267584	0.013364343615216982	false	false	false	false	false	false	https://flawchess.com/analysis?fen=rn1qk2r%2F1p3pp1%2Fp2bbn1p%2F3p4%2FP1pP4%2F2N2N2%2F1PP1BPPP%2FR1BQR1K1%20w%20kq%20-%206%2011
2k3nr/ppp2pp1/2nrp3/5q1p/6b1/2BP1N1P/PPP1BPP1/R2Q1RK1 b - - 1 12	Nf6	3.9	https://lichess.org/U09hjXfP	false	0.5156437324214209	0.5036820134406647	0.13408549227143202	0.15908044254216613	0.19615139807215554	0.2723514194023802	0.35898750455560513	0.3859652667686242	false	false	false	false	false	false	https://flawchess.com/analysis?fen=2k3nr%2Fppp2pp1%2F2nrp3%2F5q1p%2F6b1%2F2BP1N1P%2FPPP1BPP1%2FR2Q1RK1%20b%20-%20-%201%2012
rnbqkbnr/pppp2pp/5p2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3	Nxe5	3.9	https://lichess.org/ll6LPbPk	false	0.6346718261450347	0.6312501413084699	0.024269663747514204	0.08101143498261706	0.13881589019157609	0.22637429374742638	0.2923357813148274	0.11427077430781385	false	false	false	false	false	false	https://flawchess.com/analysis?fen=rnbqkbnr%2Fpppp2pp%2F5p2%2F4p3%2F4P3%2F5N2%2FPPPP1PPP%2FRNBQKB1R%20w%20KQkq%20-%200%203
r4rk1/p2nbpp1/1q2p2p/1p1nP3/2pP4/2P1BN2/PPB1Q1PP/R4RK1 w - - 1 17	Bxh6	3.9	https://lichess.org/iAHUP5us	false	0.7255317251331461	0.6754049255580261	0.06050945579603946	0.10402305678270848	0.0826456124747867	0.028998898298093198	0.020424089894383702	0.04909522711646348	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r4rk1%2Fp2nbpp1%2F1q2p2p%2F1p1nP3%2F2pP4%2F2P1BN2%2FPPB1Q1PP%2FR4RK1%20w%20-%20-%201%2017
r2qk2r/1pp2pp1/p1b1p2p/3pP2n/Pb1P2PP/2N1QN2/1PP2P1K/R4R2 b kq - 0 16	g5	3.9	https://lichess.org/Ictr0YNN	false	0.6952513126315362	0.6929058344072113	0.06439654418473165	0.05107958303187958	0.06563721694531223	0.13145563733427257	0.27328838124467875	0.47108778209877245	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r2qk2r%2F1pp2pp1%2Fp1b1p2p%2F3pP2n%2FPb1P2PP%2F2N1QN2%2F1PP2P1K%2FR4R2%20b%20kq%20-%200%2016
r1bq1k1r/1ppp2pp/1bn2n2/pP2p1N1/4P3/2PP1Q2/P4PPP/RNB1K2R b KQ - 0 10	Nd4	3.9	https://lichess.org/cFqcTshL	false	0.7801662604387296	0.774430009988079	0.04160072442206319	0.027115422022704977	0.011373420425431189	0.003629714485402542	0.0010648308930764233	0.0007319501944715721	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r1bq1k1r%2F1ppp2pp%2F1bn2n2%2FpP2p1N1%2F4P3%2F2PP1Q2%2FP4PPP%2FRNB1K2R%20b%20KQ%20-%200%2010
r3k2r/1p1b1ppp/p2bp1n1/3p4/PP6/2PBB1Pq/2Q2P1P/RN2R1K1 b kq - 4 17	Nh4	3.9	https://lichess.org/4O7ykV1K	true	0.7441789207783136	0.6060654870564154	0.300465910090106	0.17713420939790034	0.17683221542289715	0.22362030774898883	0.2504666149154303	0.21937183073049163	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r3k2r%2F1p1b1ppp%2Fp2bp1n1%2F3p4%2FPP6%2F2PBB1Pq%2F2Q2P1P%2FRN2R1K1%20b%20kq%20-%204%2017
r1b2rk1/pp3ppp/1b1p4/2p5/2B1n2q/PN2BP2/1PP1K1PP/R2Q3R b - - 2 14	Re8	3.9	https://lichess.org/SSNBuFsA	false	0.7497463301445308	0.7462761887954177	0.04507800957448374	0.07688976095263478	0.09099325926913951	0.09891982180812885	0.11722233351681478	0.1290869482179839	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r1b2rk1%2Fpp3ppp%2F1b1p4%2F2p5%2F2B1n2q%2FPN2BP2%2F1PP1K1PP%2FR2Q3R%20b%20-%20-%202%2014
