PuzzleId,FEN,PreFlawFEN,FirstMove,PV,Themes,Rating
Rtgu1,5r2/1kp4Q/1p1p4/3Np3/4P3/2P3PP/r2n2B1/6K1 b - - 0 32,5r2/1kp4Q/1p1p4/3Np3/4P3/2P3PP/r2n2B1/6qK w - - 0 32,h1g1,f8f1 g2f1 d2f3 g1h1 a2h2,arabianMate endgame exposedKing long mate mateIn3 sacrifice,2169
fPvxJ,6k1/pp4pp/2pp2p1/2P3n1/2P5/3QP1qP/PP1B1rB1/6RK b - - 1 24,6k1/pp4pp/2pp2p1/2P3n1/2P5/3QP1qP/PP1B1rB1/R6K w - - 0 24,a1g1,g5f3 d3d6 g3g2 g1g2 f2f1 g2g1 f1g1,arabianMate exposedKing kingsideAttack mate mateIn4 middlegame sacrifice veryLong,2443
UXYnQ,k1bq3r/6p1/p1p1p3/P2nN2p/8/1R5P/5QP1/6K1 w - - 0 45,k1bBq2r/6p1/p1p1p3/P2nN2p/8/1R5P/5QP1/6K1 b - - 0 44,e8d8,f2a7 a8a7 e5c6 a7a8 b3b8,arabianMate attraction exposedKing fork long mate mateIn3 middlegame sacrifice,2186
jymTM,r1br2k1/pp3pb1/1q2p1p1/4P1N1/2n1NP2/5K2/PP4PQ/7R w - - 0 24,r1br2k1/pp3pb1/1q2p1p1/4P1N1/2B1NP2/4nK2/PP4PQ/7R b - - 1 23,e3c4,h2h7 g8f8 h7g7 f8g7 h1h7 g7f8 h7f7 f8g8 e4f6 g8h8 f7h7,arabianMate attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong,2338
lIPeH,r4k1r/p4p2/3p1b2/4p3/2Q1P1Pn/4BP1q/1PPN3R/R6K b - - 0 28,r4k1r/p4p2/3p1b2/4p3/2Q1P1Pn/4BP1q/1PPNR2p/R6K w - - 4 28,e2h2,h3g2 h2g2 h4f3 e3h6 h8h6 g2h2 h6h2,arabianMate discoveredAttack discoveredCheck exposedKing kingsideAttack master masterVsMaster mate mateIn4 middlegame sacrifice veryLong,2114
uNyGS,2r1k1r1/1p3R2/7Q/1p2n3/4p2B/P3p3/1P4BP/6K1 b - - 0 33,2r1k1r1/1p3q2/7Q/1p2nR2/4p2B/P3p3/1P4BP/6K1 w - - 2 33,f5f7,c8c1 h4e1 c1e1 f7f1 e5f3 g1h1 e1f1 g2f1 g8g1,arabianMate deflection master masterVsMaster mate mateIn5 middlegame pin veryLong,2098
LrnqN,8/1pr2p1k/p3pQ1p/3pPn1P/1P1qN3/P6K/5P2/6R1 w - - 4 35,8/1pr2p1k/p2npQ1p/3pP2P/1P1qN3/P6K/5P2/6R1 b - - 3 34,d6f5,f6f5 e6f5 e4f6 h7h8 g1g8,arabianMate endgame long mate mateIn3 sacrifice,2231
TOrqU,8/3R1Nr1/pk2B3/1p2P1n1/4R2P/3r4/PP3P1K/8 b - - 10 38,8/3R1Nr1/pk2B3/1p2P1n1/4R2P/3r3K/PP3P2/8 w - - 9 38,h3h2,g5f3 h2h3 f3g1 h3h2 d3h3 e6h3 g1f3 h2h1 g7g1,arabianMate discoveredCheck doubleCheck exposedKing mate mateIn5 middlegame sacrifice veryLong,2242
FfWZw,r4q1k/1p3B1r/p2p3Q/2p1p2N/3nP3/8/PPP5/1K5R w - - 1 29,r4q1k/1p3Br1/p2p3Q/2p1p2N/3nP3/8/PPP5/1K5R b - - 0 28,g7h7,h6f6 f8g7 f6g7 h7g7 h5f6 g7h7 h1h7,arabianMate discoveredAttack discoveredCheck exposedKing mate mateIn4 middlegame veryLong,2086
WKZQF,7k/1p2R3/p1b2rR1/2p2Pp1/2P2qN1/1P1P4/P5PP/6K1 w - - 0 30,5r1k/1p2R3/p1b2BR1/2p2Pp1/2P2qN1/1P1P4/P5PP/6K1 b - - 0 29,f8f6,e7h7 h8h7 g4f6 h7h8 g6g8,arabianMate attraction endgame exposedKing intermezzo long mate mateIn3,2207
wUL1J,2Q3k1/5pp1/1p3n2/P2p4/3P4/2P2n2/4r1rP/2R2N1K b - - 1 32,6k1/2Q2pp1/1p3n2/P2p4/3P4/2P2n2/4r1rP/2R2N1K w - - 0 32,c7c8,f6e8 c8e8 g8h7 e8e3 g2h2 f1h2 e2h2,arabianMate defensiveMove master mate mateIn4 middlegame sacrifice veryLong,2584
niphx,1r5k/1r5p/2p2NP1/p2p2R1/P4P2/5n2/1P5R/1K6 w - - 1 38,1r5k/1r5p/2p2NP1/p2p2R1/P2n1P2/8/1P5R/1K6 b - - 0 37,d4f3,h2h7 b7h7 g6g7 h7g7 g5h5 g7h7 h5h7,advancedPawn arabianMate endgame mate mateIn4 sacrifice veryLong,2144
g0cbB,6N1/1b3ppk/p2p3p/4p2P/1p2P3/4QP2/Pq2rP1K/6R1 w - - 0 29,6N1/1b3ppk/p2p3p/4p2P/1p2P3/4QP2/Pqr1NP1K/6R1 b - - 0 28,c2e2,e3h6 g7h6 g8f6 h7h8 g1g8,arabianMate endgame long mate mateIn3 sacrifice,2071
sTUKG,r1b3k1/pp1nr1b1/1qnp2QB/6N1/3p4/2P5/PP1N1PP1/R3K2R w KQ - 3 17,r1b3k1/pp1n1rb1/1qnp2QB/6N1/3p4/2P5/PP1N1PP1/R3K2R b KQ - 2 16,f7e7,d2e4 d7f8 g6g7 e7g7 e4f6 g8h8 g5f7 g7f7 h6f8 c8h3 h1h3 f7h7 h3h7,arabianMate defensiveMove discoveredAttack discoveredCheck exposedKing kingsideAttack mate mateIn5 middlegame sacrifice veryLong,2664
9nmdl,5r1k/1b6/1p2pN2/p2pPnN1/2pP1q2/2P5/PPB2P2/1K4R1 w - - 11 34,r6k/1b6/1p2pN2/p2pPnN1/2pP1q2/2P5/PPB2P2/1K4R1 b - - 10 33,a8f8,g5f7 f8f7 g1g8,arabianMate clearance kingsideAttack mate mateIn2 middlegame sacrifice short,2356
tWyk1,r1b1q1r1/5Rbk/p2p1n1p/1p5N/3pP3/4P2Q/PPP3P1/6K1 w - - 0 25,r1b1q1r1/5Rbk/p2p1R1p/1p5N/3pP1n1/4P2Q/PPP3P1/6K1 b - - 3 24,g4f6,h5f6 h7h8 h3h6 g7h6 f7h7,arabianMate discoveredAttack fork long mate mateIn3 middlegame sacrifice,2038
Ry5aw,6rk/pp1R2bp/3r4/2qNpp2/8/8/PP2QPP1/4K2R w K - 4 23,6rk/pp1R2bp/5r2/2qNpp2/8/8/PP2QPP1/4K2R b K - 3 22,f6d6,h1h7 h8h7 e2h5 d6h6 d5f6 h7h8 h5h6 g7h6 d7h7,arabianMate attraction deflection mate mateIn5 middlegame pin sacrifice veryLong,2109
dOUX3,r1br2k1/pp3pb1/3pp1p1/6N1/3nNPP1/4K3/P6Q/3q1B1R w - - 0 22,r1br2k1/pp3pb1/3pp1p1/6N1/3nNPP1/4K3/P1q4Q/3R1B1R b - - 1 21,c2d1,h2h7 g8f8 h7g7 f8g7 h1h7 g7f8 h7f7 f8g8 e4f6 g8h8 f7h7,arabianMate attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong,2339
tKMKg,8/1R4rk/p2p3p/3qp3/4Np1N/7P/PP2bPP1/7K w - - 0 36,8/1R4rk/p2p3p/3qp2b/4Np1N/7P/PP2QPP1/7K b - - 0 35,h5e2,e4f6 h7h8 h4g6 g7g6 b7h7,arabianMate endgame fork long mate mateIn3 sacrifice,2392
GXxzv,r3b1rk/5Rp1/4pN1p/3pq3/Pp4Q1/1P6/6PP/3R3K w - - 4 27,r3b1r1/5Rpk/4pN1p/3pq3/Pp4Q1/1P6/6PP/3R3K b - - 3 26,h7h8,g4g7 g8g7 f7f8 g7g8 f8g8,arabianMate long mate mateIn3 middlegame sacrifice,2241
2yZEg,4r1k1/6pp/p1qp3r/1p6/3Q1N1n/1P4BP/P4PP1/2R2RK1 b - - 1 30,4r1k1/6pp/p1qp3r/1p6/3Q1N1n/1P4BP/P4PP1/R4RK1 w - - 0 30,a1c1,c6g2 f4g2 h4f3 g1h1 h6h3 g3h2 h3h2,arabianMate discoveredAttack fork mate mateIn4 middlegame sacrifice veryLong,2107
ncnsw,6r1/2R2Rpk/p6p/1p5P/2ppN3/3P2P1/1qPK4/8 w - - 2 27,r7/2R2Rpk/p6p/1p5P/2ppN3/3P2P1/1qPK4/8 b - - 1 26,a8g8,f7g7 g8g7 e4f6 h7h8 c7c8 g7g8 c8g8,arabianMate endgame mate mateIn4 pin sacrifice veryLong,2199
Cz3ta,6k1/RR3N1p/4p3/4n1p1/5n2/5P2/2r4P/4K3 b - - 4 40,6k1/RR3N1p/4p3/4n1p1/5n2/5P2/2r2K1P/8 w - - 3 40,f2e1,f4g2 e1f1 g2e3 f1g1 e5f3 g1h1 c2h2,arabianMate endgame exposedKing master mate mateIn4 veryLong,2643
7RTg6,6rk/1p3p1p/r7/p1PQ3p/P3pB1q/1NP1PnPb/1P3P2/3R2RK b - - 0 26,6rk/1p3p1p/r7/p1PQ3p/P3pB1q/1NP1Pn1b/1P3PP1/3R2RK w - - 0 26,g2g3,h3f1 g3h4 g8g1,arabianMate discoveredAttack discoveredCheck kingsideAttack mate mateIn2 middlegame sacrifice short,2383
GCiax,4rb1k/1b1R4/6R1/4p1pN/pq4P1/1p2P3/1P3PP1/6K1 w - - 10 34,4rbk1/1b1R4/6R1/4p1pN/pq4P1/1p2P3/1P3PP1/6K1 b - - 9 33,g8h8,g6g8 h8g8 h5f6 g8h8 d7h7,arabianMate attraction exposedKing fork long mate mateIn3 middlegame sacrifice,2216
72oaK,3k4/pR6/8/P2pBbr1/1P1P3n/2P5/5PP1/R5K1 b - - 0 32,3k4/ppR5/8/P2pBbr1/1P1P3n/2P5/5PP1/R5K1 w - - 1 32,c7b7,h4f3 g1h1 g5h5 e5h2 h5h2,arabianMate endgame long mate mateIn3 pin,2116
EnfFb,6r1/4Rp1k/p6p/1p1N1Pp1/8/1P6/PBrPK3/7q w - - 8 36,2r3r1/4Rp1k/p6p/1p1N1Pp1/8/1P6/PB1PK3/7q b - - 7 35,c8c2,e7f7 g8g7 d5f6 h7h8 f7f8 g7g8 f8g8,arabianMate endgame mate mateIn4 veryLong,2152
BBB3V,8/pp3p2/3k1P2/3pn1r1/5P1p/2PB4/PP4rP/R3R2K b - - 0 28,8/pp3p2/3k1P2/3pn1r1/7p/2PB4/PP3PrP/R3R2K w - - 0 28,f2f4,e5f3 e1e2 g2g1 a1g1 g5g1,arabianMate endgame long mate mateIn3,2186
brEme,1r3rk1/3b1pqp/3p2p1/1p1P4/1P2NbP1/1B3K2/2P4Q/7R w - - 0 30,1r3rk1/3b1pqp/3p2p1/1p1Pb3/1P2NBP1/1B3K2/2P4Q/7R b - - 2 29,e5f4,e4f6 g8h8 h2h7 g7h7 h1h7,arabianMate kingsideAttack long mate mateIn3 middlegame,2079
nVs4i,1k4r1/pp6/2b1Q2p/3pP2P/2pP1B2/P1P2nq1/1R3RB1/7K b - - 5 32,1k4r1/pp6/2b1Q2p/3pP2P/2pP1B2/P1P2nq1/1R3RB1/6K1 w - - 4 32,g1h1,g3h4 e6h3 h4h3 g2h3 g8g1,arabianMate exposedKing long master mate mateIn3 middlegame,2315
ncL56,8/1R5p/4kn1K/5r2/8/P1N5/7P/8 b - - 2 44,8/1R5p/4kn1K/5r2/N7/P7/7P/8 w - - 1 44,a4c3,f5h5 h6g7 h5g5 g7h8 g5g8,arabianMate endgame long master mate mateIn3,2057
bJArQ,r2n2k1/1p1RRb2/8/2p2pNN/p6K/1q6/7P/8 w - - 2 35,r2n4/1p1RRbk1/8/2p2pNN/p6K/1q6/7P/8 b - - 1 34,g7g8,e7e8 f7e8 h5f6 g8h8 d7h7,arabianMate exposedKing long mate mateIn3 middlegame sacrifice,2333
dpquD,4Rrrk/1ppR1Qbp/5N2/p4Pp1/1q6/8/2P3PP/6K1 w - - 3 28,4Rrrk/1ppR1Qbp/5N2/p4Pp1/q7/8/2P3PP/6K1 b - - 2 27,a4b4,f7g8 f8g8 e8g8,arabianMate mate mateIn2 middlegame short xRayAttack,2038
t194m,6r1/7R/2k1N3/1p2n2N/2p5/2P2r1P/PP1B1b1K/R7 b - - 8 38,6r1/7R/2k5/1p2n2N/2p2N2/2P2r1P/PP1B1b1K/R7 w - - 7 38,f4e6,f2g1 a1g1 f3f2 h2h1 f2h2 h1h2 e5f3 h2h1 g8g1,arabianMate attraction clearance fork mate mateIn5 middlegame sacrifice veryLong,2442
AupT4,5rrk/pp3Rp1/4pNQp/5q2/8/1P2n3/P5PP/4R1K1 w - - 4 29,5rrk/pp3Rp1/4pNQp/4q3/8/1P2n3/P5PP/4R1K1 b - - 3 28,e5f5,g6g7 g8g7 f7f8 g7g8 f8g8,arabianMate deflection long master mate mateIn3 middlegame sacrifice,2123
Zhn6x,r1q5/p2N1Rpk/1p4r1/5Q1p/4P3/8/P1p3PP/6K1 w - - 2 27,r1q5/p2N1Rpk/1p5r/5Q1p/4P3/8/P1p3PP/6K1 b - - 1 26,h6g6,d7f6 h7h8 f5h5 g6h6 h5h6 g7h6 f7h7,arabianMate endgame fork mate mateIn4 pin sacrifice veryLong,2136
1zsRQ,r3qbk1/ppp2Rp1/3pp2p/4n1NQ/4N3/3P4/PPP3PP/6K1 w - - 2 18,r3qbk1/ppp2Rp1/2npp2p/6NQ/4N3/3P4/PPP3PP/6K1 b - - 1 17,c6e5,h5h6 e5f3 g2f3 g7h6 e4f6 g8h8 f7h7,arabianMate fork mate mateIn4 middlegame sacrifice veryLong,2285
Ny8Bl,6r1/pbr3pk/1p1qpp1p/2p4Q/3PpPN1/1PP1P3/P4P1P/2R3RK w - - 4 23,r7/pbr3pk/1p1qpp1p/2p4Q/3PpPN1/1PP1P3/P4P1P/2R3RK b - - 3 22,a8g8,h5h6 g7h6 g4f6 h7h8 g1g8,arabianMate deflection discoveredAttack long mate mateIn3 middlegame sacrifice,2260
Y8gmr,4r1k1/1R3p1p/5Qp1/3P4/8/5nP1/r3q1BP/6RK b - - 4 31,4r1k1/1R3p1p/3Q2p1/3P4/8/5nP1/r3q1BP/6RK w - - 3 31,d6f6,e2g2 g1g2 e8e1 g2g1 e1g1,arabianMate clearance long master mate mateIn3 middlegame sacrifice,2035
VXEcB,2kr3r/pp4Rp/2p2Rb1/4B2p/1N5q/1P6/P1P5/2K5 w - - 1 25,r3k2r/pp4Rp/2p2Rb1/4B2p/1N5q/1P6/P1P5/2K5 b kq - 0 24,e8c8,f6c6 b7c6 g7c7 c8b8 b4c6 b8a8 c7a7,arabianMate fork intermezzo mate mateIn4 middlegame sacrifice veryLong,2321
x2ziL,8/p1R3bk/6pp/8/3p1PN1/r7/1p2r1PR/6K1 w - - 0 37,8/p1R3bk/6pp/8/3p1PN1/rp6/4r1PR/6K1 b - - 1 36,b3b2,g4f6 h7h8 h2h6 g7h6 c7h7,arabianMate deflection endgame long mate mateIn3 pin sacrifice,2175
UeJsk,1k4r1/ppp3r1/3b1pq1/4n3/2P1P2p/1P5B/PB1RQPPP/3R2K1 b - - 3 23,1k4r1/ppp3r1/3b1pq1/4n3/2P1P2p/1P5B/PB1RQPPP/5RK1 w - - 2 23,f1d1,g6g2 h3g2 g7g2 g1h1 e5f3 b2e5 g2g1 d1g1 g8g1,arabianMate kingsideAttack mate mateIn5 middlegame sacrifice veryLong,2296
Z0dXq,8/4N2r/pk1P1p2/2n1p1p1/2R5/P7/5PK1/8 w - - 0 38,8/3nN2r/pk1P1p2/2P1p1p1/2R5/P7/5PK1/8 b - - 0 37,d7c5,c4b4 b6a7 e7c6 a7a8 b4b8,arabianMate endgame long mate mateIn3,2312
JEJfu,1Q3b1r/p5p1/4Nk2/4nb2/5Nn1/4P1P1/PP3PBq/R1B1RK2 b - - 0 25,1r3b1r/pQ4p1/4Nk2/4nb2/5Nn1/4P1P1/PP3PBq/R1B1RK2 w - - 1 25,b7b8,h2g2 f1g2 h8h2 g2f1 h2f2 f1g1 e5f3 g1h1 f2h2,arabianMate attraction fork mate mateIn5 middlegame sacrifice veryLong,2409
P7LZO,Q6r/5pkp/p3pN2/1p2P1P1/2q2P2/6P1/Pp1r4/1K5R w - - 4 33,Q4k1r/5p1p/p3pN2/1p2P1P1/2q2P2/6P1/Pp1r4/1K5R b - - 3 32,f8g7,a8h8 g7h8 h1h7,arabianMate attraction endgame mate mateIn2 sacrifice short,2183
P9IOY,r3b1r1/2q2pbk/3p1p1p/1pnPpP1Q/p1p1P1NN/2P3RP/2B3P1/1R4K1 w - - 0 25,r3b1r1/2q2pbk/3p1p1p/ppnPpP1Q/2p1P1NN/2P3RP/2B3P1/1R4K1 b - - 3 24,a5a4,h5h6 g7h6 g4f6 h7h8 g3g8,arabianMate deflection discoveredAttack fork long mate mateIn3 middlegame sacrifice,2062
ebukk,7k/1p3R2/7p/2b4N/p3K3/2r5/P1r5/6R1 w - - 3 50,5b1k/1p3R2/7p/7N/p3K3/2r5/P1r5/6R1 b - - 2 49,f8c5,f7h7 h8h7 h5f6 h7h8 g1g8,arabianMate attraction endgame exposedKing long mate mateIn3 sacrifice,2152
e8GVM,3Bn3/4N1rk/3p1p2/3PpP2/1P2P1qp/R4n2/4Q1B1/7K b - - 10 52,3Bn3/4N1rk/3p1p2/3PpP2/1P2P1qp/R4n2/4Q3/5B1K w - - 9 52,f1g2,g4h3 g2h3 g7g1,arabianMate clearance mate mateIn2 middlegame sacrifice short,2192
NqvFO,6k1/1R5R/8/1p3p2/4nPp1/4P1P1/n2r3P/1K2N3 b - - 9 48,6k1/1R5R/8/1p3p2/4nPp1/4P1P1/n2r3P/2K1N3 w - - 8 48,c1b1,a2c3 b1c1 c3e2 c1b1 e4c3 b1a1 d2a2,arabianMate endgame exposedKing master mate mateIn4 veryLong,2465
4BqOI,2Q5/6k1/1R6/p2p1p2/3n2r1/8/R4P1K/6n1 b - - 5 49,2Q5/6k1/1R6/p2p1p2/3n2r1/7K/R4P2/6n1 w - - 4 49,h3h2,g1f3 h2h3 f3g5 h3h2 d4f3 h2h1 g4g1,arabianMate endgame exposedKing mate mateIn4 veryLong,2459
zvYpb,2r4k/1p1R1Rb1/5Np1/1P4Bp/7P/P4P2/n5r1/1K6 b - - 2 27,2r4k/1p3Rb1/5Np1/1P4Bp/7P/P4P2/n5r1/1K1R4 w - - 1 27,d1d7,c8c1 g5c1 a2c3 b1a1 g2a2,arabianMate exposedKing long master mate mateIn3 middlegame sacrifice,2245
Gq7S0,4rb2/1p3ppk/1rppbq1N/4p3/4PP2/P6Q/1B1P4/2K3R1 w - - 1 31,4rbk1/1p3pp1/1rppbq1N/4p3/4PP2/P6Q/1B1P4/2K3R1 b - - 0 30,g8h7,h6g4 f6h6 h3h6 g7h6 g4f6 h7h8 g1g8,arabianMate discoveredAttack fork mate mateIn4 middlegame veryLong,2353
ieH6K,r4k2/pbp1R3/2p1P3/3pN1Bp/8/2K5/PPP5/6q1 w - - 2 36,r3k3/pbp1R3/2p1P3/3pN1Bp/8/2K5/PPP5/6q1 b - - 1 35,e8f8,e5d7 f8g8 d7f6 g8h8 e7h7,arabianMate endgame exposedKing long mate mateIn3,2021
6pC7p,Q4R2/5pkp/6p1/8/4qN2/P3PnP1/1r3RBP/7K b - - 0 30,Q4R2/5pkp/6p1/8/4qN2/P3PnP1/1r3rBP/5R1K w - - 0 30,f1f2,e4b1 g2f1 b1f1 f2f1 b2h2,arabianMate deflection long mate mateIn3 middlegame sacrifice,2219
0VByB,1r1q1bk1/4Rp2/pp4p1/3N3p/PPPp4/3Q3P/6P1/6K1 w - - 1 39,1r1q2k1/4Rpb1/pp4p1/3N3p/PPPp4/3Q3P/6P1/6K1 b - - 0 38,g7f8,d3g6 f7g6 d5f6 g8h8 e7h7,arabianMate endgame long mate mateIn3 sacrifice,2040
np7Af,5k2/5pr1/2p5/1p1bN2P/1P4P1/8/p1P1R2K/8 w - - 0 43,5k2/5pr1/2p5/1p1bN2P/1P4P1/p7/2P1R2K/8 b - - 0 42,a3a2,e5d7 f8g8 d7f6 g8h8 e2e8 g7g8 e8g8,arabianMate endgame mate mateIn4 veryLong,2082
KJDJx,5k2/ppp1qpr1/2n2b2/4p2Q/4P1N1/2P5/PP3P2/3BK1R1 w - - 3 28,6k1/ppp1qpr1/2n2b2/4p2Q/4P1N1/2P5/PP3P2/3BK1R1 b - - 2 27,g8f8,h5h8 g7g8 h8g8 f8g8 g4f6 g8h8 g1g8,arabianMate attraction discoveredCheck doubleCheck master mate mateIn4 middlegame veryLong,2046
RPo8D,2b3r1/5ppk/p1p4p/3pRP1N/2rq4/6QP/P5PK/4R3 w - - 1 28,6r1/5ppk/p1p1b2p/3pRP1N/2rq4/6QP/P5PK/4R3 b - - 0 27,e6c8,g3g7 g8g7 h5f6 h7h8 e5e8 g7g8 e8g8,arabianMate fork mate mateIn4 middlegame sacrifice veryLong,2137
DDyLV,4r1k1/Q4p1p/p5p1/Pp1Np3/2pnPnRq/2N4P/1P3rPK/R4B2 b - - 3 29,4r1k1/Q4p1p/p5p1/Pp1Np3/2pnPn1q/2N3RP/1P3rPK/R4B2 w - - 2 29,g3g4,d4f3 h2h1 h4h3 g2h3 f2h2,arabianMate deflection long master mate mateIn3 middlegame pin sacrifice,2329
vOyYW,4Rnk1/p4rpp/3N1p1b/1p2pP1N/6Q1/1P1P2RP/1P4PK/2r1q3 w - - 9 31,4Rnk1/p4rpp/3N1p1b/qp2pP1N/6Q1/1P1P2RP/1P4PK/2r5 b - - 8 30,a5e1,g4g7 h6g7 g3g7 f7g7 h5f6 g8h8 e8f8 g7g8 f8g8,arabianMate deflection kingsideAttack mate mateIn5 middlegame sacrifice veryLong,2177
XISpY,3r2k1/4Rp2/p1qN2pp/3n4/p1b1N1PP/2Q2P2/1P6/7K w - - 2 36,3r2k1/4Rp2/p1qN2pp/8/p1b1NnPP/2Q2P2/1P6/7K b - - 1 35,f4d5,e7f7 d5c3 e4f6 g8h8 f7h7,arabianMate long mate mateIn3 middlegame sacrifice,2345
tBL2D,4r1k1/5pp1/3Q1b1p/P7/2PP3n/2P2qNP/R4P1K/6R1 b - - 6 32,4r1k1/5pp1/3Q1b1p/P7/2PP3n/2P2qNP/R4P1K/5R2 w - - 5 32,f1g1,f3g2 g1g2 h4f3 h2h1 e8e1 g3f1 e1f1 g2g1 f1g1,arabianMate mate mateIn5 middlegame sacrifice veryLong,2252
7ZOI9,2k4r/bp1R4/p6n/P3N3/QPB1P3/2P4b/4KPq1/8 w - - 2 33,7r/bpkR4/p6n/P3N3/QPB1P3/2P4b/4KPq1/8 b - - 1 32,c7c8,a4c6 b7c6 c4a6 c8b8 e5c6 b8a8 d7a7,arabianMate deflection intermezzo mate mateIn4 middlegame queensideAttack sacrifice veryLong,2093
iqtvg,rn3r2/5ppk/pb2p2p/1p2N3/3pNPR1/4P1P1/PPP2P2/2K4R w - - 2 20,rn3r2/5ppk/p3p2p/1pb1N3/3pNPR1/4P1P1/PPP2P2/2K4R b - - 1 19,c5b6,h1h6 g7h6 e4f6 h7h8 e5f7 f8f7 g4g8,arabianMate mate mateIn4 middlegame sacrifice veryLong,2090
QZZao,6rk/3N1Rp1/r2p3p/p1p1n2Q/1pP1P1RP/1P1P4/1q4P1/6K1 w - - 1 31,6rk/3N1Rp1/r2p2np/p1p4Q/1pP1P1RP/1P1P4/1q4P1/6K1 b - - 0 30,g6e5,h5h6 g7h6 f7h7 h8h7 d7f6 h7h8 g4g8,arabianMate attraction fork mate mateIn4 middlegame sacrifice veryLong,2174
pGGb5,6k1/2R3b1/3N2p1/4pnNp/8/4P3/r2r2PP/1R4K1 w - - 2 30,6k1/2R3b1/3N2p1/4pnNp/8/3rP3/r5PP/1R4K1 b - - 1 29,d3d2,b1b8 g7f8 b8f8 g8f8 g5h7 f8g8 h7f6 g8h8 c7h7,arabianMate attraction exposedKing mate mateIn5 middlegame sacrifice veryLong,2546
xSWxe,6k1/2p2p1p/3p2p1/3Pn1r1/2P1Pp1q/5P1P/Q3R1PK/5N2 b - - 0 41,6k1/2p2p1p/3p2p1/3Pn1r1/4Pp1q/2P2P1P/Q3R1PK/5N2 w - - 15 41,c3c4,h4h3 g2h3 e5f3 h2h1 g5g1,arabianMate deflection endgame long mate mateIn3 sacrifice,2182
lISux,r3qrk1/pbpnb2p/1p4p1/3NPN2/2B2P2/4B1n1/PPP3P1/2KR3R w - - 0 20,r3qrk1/pbpnb2p/1p4p1/3NPN2/2B1nP2/4B1Q1/PPP3P1/2KR3R b - - 0 19,e4g3,d5f6 g8h8 h1h7,arabianMate discoveredCheck doubleCheck fork mate mateIn2 middlegame short,2091
vktrv,2r1k3/1N3RR1/p4p2/2pPp3/2P1nb2/BP6/P1KP3r/8 b - - 2 31,2r1k3/1N3R2/p4p2/2pPp3/2P1nb2/BP6/P1KP3r/6R1 w - - 1 31,g1g7,h2d2 c2c1 d2e2 c1b1 e4c3 b1a1 e2a2,arabianMate discoveredAttack discoveredCheck mate mateIn4 middlegame veryLong,2357
YUatQ,3r1r1k/p1p1Rpp1/1pq2N1p/7P/3n1Q1N/8/P1n2PP1/1R4K1 w - - 3 32,3r1r1k/pqp1Rpp1/1p3N1p/7P/3n1Q1N/8/P1n2PP1/1R4K1 b - - 2 31,b7c6,h4g6 f7g6 f4h6 g7h6 e7h7,arabianMate kingsideAttack long mate mateIn3 middlegame sacrifice,2128
Jc2Hu,5rk1/6p1/3p3p/3Pp3/2B1n2r/1P2Rn2/2P3RN/4N2K b - - 12 37,5rk1/6p1/3p3p/3Pp3/2B1n2r/1P1NRn2/2P3RN/7K w - - 11 37,d3e1,e4g3 g2g3 h4h2,arabianMate deflection mate mateIn2 middlegame short,2004
oQmXk,8/p4KP1/7k/5p2/6R1/8/P4b2/7q w - - 0 53,8/p4KP1/7k/5p2/6R1/8/P4b1p/8 b - - 0 52,h2h1q,g7g8n h6h7 g8f6 h7h8 g4g8,advancedPawn arabianMate endgame exposedKing long mate mateIn3 promotion underPromotion,2120
x3Dog,r6k/pp5r/3p3Q/2p4N/3pP3/1P1P4/P1q2PP1/4bK1R w - - 1 30,r6k/pp3r2/3p3Q/2p4N/3pP3/1P1P4/P1q2PP1/4bK1R b - - 0 29,f7h7,h6g7 h7g7 h5f6 g7h7 h1h7,arabianMate discoveredAttack discoveredCheck exposedKing kingsideAttack long mate mateIn3 middlegame sacrifice,2377
I65Ka,r1b1k2r/5p1p/2Np2p1/q3P1Q1/1pB1n3/8/PpP3PP/1K1R2NR b kq - 0 18,r1b1k2r/5p1p/2pp2p1/q3P1Q1/1pBNn3/8/PpP3PP/1K1R2NR w kq - 0 18,d4c6,e4c3 b1b2 a5a3 b2a1 a3a2 c4a2 a8a2,arabianMate fork mate mateIn4 middlegame sacrifice veryLong,2066
bkeoj,2Q5/5ppk/2B5/1N1P4/7p/5P1P/1r2r1PK/4n1R1 b - - 4 37,Q7/5ppk/2B5/1N1P4/7p/5P1P/1r2r1PK/4n1R1 w - - 3 37,a8c8,e2g2 g1g2 e1f3 h2h1 b2b1 g2g1 b1g1,arabianMate master mate mateIn4 middlegame sacrifice veryLong,2244
crVC4,1r6/3P4/P7/K1kn4/8/8/6P1/4R3 b - - 0 55,1r6/8/P2P4/K1kn4/8/8/6P1/4R3 w - - 5 55,d6d7,b8b5 a5a4 d5c3 a4a3 c5c4 e1e4 c3e4 d7d8q b5b3 a3a2 e4c3 a2a1 b3b1,arabianMate endgame mate mateIn5 veryLong,2497
fQoZ0,r4b1k/2R5/6R1/3N4/2pPp3/7P/6PK/q7 w - - 0 38,r4b1k/2R5/6R1/3N4/2pPp3/7P/p5PK/8 b - - 0 37,a2a1q,g6g8 h8g8 d5f6 g8h8 c7h7,arabianMate attraction endgame exposedKing long mate mateIn3 sacrifice,2174
