PuzzleId,FEN,PreFlawFEN,FirstMove,PV,Themes,Rating
t6gxa,r4r1k/2p1Nppp/p3b3/2n1R2Q/8/8/PqP2PPP/R5K1 w - - 0 18,r4r1k/1qp1Nppp/p3b3/2n1R2Q/8/8/PPP2PPP/R5K1 b - - 6 17,b7b2,h5h7 h8h7 e5h5,anastasiaMate attraction kingsideAttack mate mateIn2 middlegame sacrifice short,1228
HKv2P,r4r1k/pp2Nppp/8/2p5/4nP2/P2q2P1/1PP3P1/2KR3R w - - 0 23,r4r1k/pp2Nppp/8/1qp5/4nP2/P2Q2P1/1PP3P1/2KR3R b - - 1 22,b5d3,h1h7 h8h7 d1h1,anastasiaMate attraction kingsideAttack mate mateIn2 middlegame sacrifice short,1204
IGIGr,r4r1k/pp2Nppp/1b6/6BQ/3nR3/6P1/Pq3P1P/6KR w - - 0 21,r4r1k/pp2Nppp/1b6/6BQ/1q1nR3/6P1/PP3P1P/6KR b - - 2 20,b4b2,h5h7 h8h7 e4h4,anastasiaMate attraction kingsideAttack mate mateIn2 middlegame sacrifice short,1487
NaPdB,4k3/2p2ppp/5r2/2R5/N1P3n1/1P4P1/P5KP/8 b - - 0 39,4k3/2p2ppp/5r2/2pR4/N1P3n1/1P4P1/P5KP/8 w - - 0 39,d5c5,g4e3 g2h3 f6h6 c5h5 h6h5,anastasiaMate endgame long mate mateIn3,1388
xCLif,3k1r2/8/R7/1p6/4P1n1/1P4P1/P1P3K1/6R1 b - - 0 47,3k1r2/8/p1R5/1p6/4P1n1/1P4P1/P1P3K1/6R1 w - - 7 47,c6a6,g4e3 g2h3 f8h8 a6h6 h8h6,anastasiaMate endgame long mate mateIn3,1524
cBHjh,r6k/4N1pp/5r2/2pQ4/7q/2P1P3/PP2nPPP/R4R1K b - - 0 29,r6k/4N1pp/4Qr2/2pp4/7q/2P1P3/PP2nPPP/R4R1K w - - 1 29,e6d5,h4h2 h1h2 f6h6 d5h5 h6h5,anastasiaMate attraction kingsideAttack long mate mateIn3 middlegame sacrifice,1505
txZ9d,5r1k/pp2N1pp/2p5/3pn3/6r1/2P1P3/PP1K1P2/R6R w - - 3 29,5rk1/pp2N1pp/2p5/3pn3/6r1/2P1P3/PP1K1P2/R6R b - - 2 28,g8h8,h1h7 h8h7 a1h1 g4h4 h1h4,anastasiaMate attraction endgame long mate mateIn3 sacrifice,1202
Xxw2H,r4rk1/5ppp/p2p4/1p1N4/3qP3/3n3R/PPP1Q1PP/7K w - - 0 22,r4rk1/5ppp/p2p4/1p1Nn3/3qP3/3B3R/PPP1Q1PP/7K b - - 4 21,e5d3,d5e7 g8h8 h3h7 h8h7 e2h5,anastasiaMate attraction kingsideAttack long mate mateIn3 middlegame sacrifice,1525
KVGUW,5r1k/p1qnNppp/1r2p3/1pp3P1/3P4/2P1PbR1/P1Q2P1P/R3K3 w Q - 0 21,5r1k/pbqnNppp/1r2p3/1pp3P1/3P4/2P1PBR1/P1Q2P1P/R3K3 b Q - 10 20,b7f3,c2h7 h8h7 g3h3 f3h5 h3h5,anastasiaMate attraction fork long mate mateIn3 middlegame sacrifice,1521
ZSJHM,r7/4Nppk/1p6/1Bp2qn1/3pb2p/1P4QP/2P2PP1/4R1K1 w - - 2 37,r5k1/4Npp1/1p6/1Bp2qn1/3pb2p/1P4QP/2P2PP1/4R1K1 b - - 1 36,g8h7,g3h4,anastasiaMate mate mateIn1 middlegame oneMove,1402
